time;x;y;z;speed x;speed y;speed z;roll;pitch;yaw;pX|X;pX|Y;pX|Z;pY|X;pY|Y;pY|Z;pZ|X;pZ|Y;pZ|Z;roll Scalar;pitch Scalar;yaw Scalar;accelerate;roll Input;pitch Input;yaw Input
19,6893;2150,513;92,74921;7,941406;112,2439;-9,4295;-1,741529;98,54124;-0,4739525;93,70762;0,001441032;-0,9888755;0,1487395;-0,0651736;-0,1485164;-0,9867601;0,9978731;-0,008271784;-0,06466278;-0,1485163;-0,008271784;-0,06466278;1;-1;0;0
19,706;2152,387;92,59978;7,908936;112,2433;-9,35668;-1,895515;96,31387;-0,3286494;93,7267;0,001453966;-0,9939183;0,1101134;-0,06523272;-0,1099735;-0,991792;0,9978694;-0,005740613;-0,06499627;-0,1099732;-0,005740613;-0,06499627;1;-1;0;0
19,7227;2154,262;92,4517;7,874023;112,2427;-9,277971;-2,046259;94,08666;-0,1823843;93,74008;0,001464814;-0,9974525;0,07132161;-0,06529179;-0,0712651;-0,9953184;0,9978653;-0,003198564;-0,06523004;-0,07126491;-0,003198564;-0,06523004;1;-1;0;0
19,7394;2156,136;92,30505;7,837158;112,2423;-9,193504;-2,19354;91,85957;-0,02797646;93,74783;0,001473457;-0,9994733;0,03242296;-0,06535187;-0,03245011;-0,9973347;0,9978613;-0,000649273;-0,06536537;-0,03244993;-0,000649273;-0,06536537;1;-1;0;0
19,7561;2158,011;92,15992;7,798096;112,2421;-9,103417;-2,337147;89,63259;0,1083524;93,74993;0,001479357;-0,9999779;-0,006523132;-0,06541249;0,006411999;-0,997838;0,9978576;0,001903206;-0,06540191;0,006412404;0,001903206;-0,06540191;1;-1;0;0
19,7728;2159,885;92,01638;7,756836;112,2419;-9,007856;-2,476874;87,40572;0,2548778;93,74634;0,001483202;-0,9989654;-0,04545748;-0,06547335;0,04526281;-0,9968274;0,9978534;0,004454911;-0,06533861;0,04526299;0,004454911;-0,06533861;1;-1;0;0
19,7895;2161,76;91,8745;7,713623;112,2419;-8,906977;-2,612515;85,17889;0,4010509;93,73708;0,001484454;-0,9964377;-0,08432102;-0,06553441;0,08404267;-0,994305;0,9978495;0,007002205;-0,06517643;0,08404294;0,007002205;-0,06517643;1;-1;0;0
19,8062;2163,634;91,73439;7,668457;112,242;-8,80094;-2,743876;82,95213;0,5464389;93,72212;0,001483649;-0,992399;-0,1230546;-0,06559515;0,122693;-0,9902747;0,9978454;0,009541154;-0,06491464;0,1226932;0,009541154;-0,06491464;1;-1;0;0
19,8229;2165,509;91,59609;7,621582;112,2422;-8,689916;-2,870763;80,72538;0,6912548;93,70153;0,001480073;-0,9868556;-0,1615994;-0,06565553;0,1611547;-0,9847431;0,9978415;0,01206762;-0,06455421;0,161155;0,01206762;-0,06455421;1;-1;0;0
19,8396;2167,383;91,45968;7,572754;112,2426;-8,574082;-2,992994;78,49863;0,8353283;93,67527;0,00147447;-0,979816;-0,1998971;-0,0657149;0,19937;-0,9777185;0,9978376;0,01457807;-0,06409475;0,1993704;0,01457807;-0,06409475;1;-1;0;0
19,8563;2169,258;91,32523;7,522217;112,2431;-8,453623;-3,110388;76,27188;0,9779881;93,6434;0,001466781;-0,9712913;-0,237889;-0,06577346;0,2372802;-0,9692121;0,9978336;0,01706854;-0,06353727;0,2372804;0,01706854;-0,06353727;1;-1;0;0
19,873;2171,132;91,19279;7,470215;112,2437;-8,32873;-3,222774;74,04508;1,119426;93,60603;0,001456469;-0,961295;-0,2755181;-0,0658319;0,2748283;-0,9592371;0,9978299;0,01953515;-0,0628837;0,2748286;0,01953515;-0,0628837;1;-1;0;0
19,8897;2173,007;91,06245;7,416748;112,2444;-8,1996;-3,329989;71,81824;1,259121;93,56326;0,001443803;-0,9498422;-0,3127268;-0,06589055;0,3119569;-0,9478089;0,997826;0,02197441;-0,06213534;0,3119572;0,02197441;-0,06213534;1;-1;0;0
19,9064;2174,881;90,93424;7,361572;112,2453;-8,066438;-3,431882;69,59133;1,397178;93,51503;0,001429021;-0,9369508;-0,3494591;-0,06594822;0,3486101;-0,934945;0,9978223;0,02438247;-0,0612922;0,3486104;0,02438247;-0,0612922;1;-1;0;0
19,9231;2176,756;90,80823;7,305176;112,2463;-7,929452;-3,528304;67,36432;1,533145;93,46147;0,001412213;-0,9226404;-0,3856591;-0,06600499;0,3847323;-0,9206653;0,9978184;0,02675569;-0,06035563;0,3847325;0,02675569;-0,06035563;1;-1;0;0
